file,size,q,progressive
1.jpg,2239,93,1
10.jpg,19352,63,1
100.jpg,14255,99,1
1000.jpg,8969,80,1
10000.jpg,192259,97,1
10001.jpg,5373,82,1
10002.jpg,302841,92,1
10003.jpg,2710,82,0
10004.jpg,195037,92,1
10005.jpg,29498,82,1
10006.jpg,8654,94,1
10007.jpg,12563,89,1
10008.jpg,65305,90,1
10009.jpg,61962,100,1
1001.jpg,9504,0,1
10010.jpg,89155,99,1
10011.jpg,18946,95,1
10012.jpg,478205,63,1
10013.jpg,9387,82,1
10014.jpg,1.03855M,90,1
10015.jpg,5776,92,1
10016.jpg,99834,91,1
10017.jpg,28355,91,1
10018.jpg,14715,82,1
10019.jpg,49088,94,1
1002.jpg,218165,91,1
10020.jpg,45754,80,1
10021.jpg,4915,75,1
10022.jpg,19138,85,1
10023.jpg,20164,59,1
10024.jpg,61658,95,1
10025.jpg,2548,75,1
10026.jpg,31052,63,1
10027.jpg,13239,68,1
10028.jpg,31795,90,1
10029.jpg,8376,94,1
1003.jpg,20692,99,1
10030.jpg,54699,67,1
10031.jpg,27314,75,1
10032.jpg,50676,82,1
10033.jpg,12665,82,1
10034.jpg,48723,94,1
10035.jpg,38755,80,1
10036.jpg,24219,99,1
10037.jpg,261010,94,1
10038.jpg,28043,92,1
10039.jpg,59194,79,1
1004.jpg,53700,85,1
10040.jpg,35886,99,1
10041.jpg,46226,100,1
10042.jpg,17839,93,1
10043.jpg,618647,99,1
10044.jpg,31337,94,1
10045.jpg,115859,63,1
10046.jpg,28671,90,1
10047.jpg,74688,99,1
10048.jpg,92714,100,1
10049.jpg,60164,85,1
1005.jpg,173317,99,1
10050.jpg,1123,85,1
10051.jpg,101444,99,1
10052.jpg,60968,99,1
10053.jpg,8085,82,1
10054.jpg,9846,82,1
10055.jpg,9145,99,1
10056.jpg,3273,86,0
10057.jpg,65510,63,1
10058.jpg,274993,95,1
10059.jpg,54544,99,1
1006.jpg,136274,92,1
10060.jpg,16765,90,1
10061.jpg,9228,85,1
10062.jpg,43050,82,1
10063.jpg,745506,82,1
10064.jpg,129891,100,1
10065.jpg,618917,94,1
10066.jpg,28913,94,1
10067.jpg,193099,100,1
10068.jpg,6294,63,1
10069.jpg,14571,90,1
1007.jpg,6719,94,1
10070.jpg,7277,82,1
10071.jpg,360784,90,1
10072.jpg,14859,99,1
10073.jpg,53210,95,1
10074.jpg,109000,75,1
10075.jpg,9470,90,1
10076.jpg,25091,73,1
10077.jpg,11837,86,1
10078.jpg,59833,79,1
10079.jpg,4826,88,1
1008.jpg,3.36728M,99,1
10080.jpg,54322,100,1
10081.jpg,11876,85,1
10082.jpg,134641,94,1
10083.jpg,14078,94,1
10084.jpg,2065,90,1
10085.jpg,19182,87,1
10086.jpg,1475,85,1
10087.jpg,51738,100,1
10088.jpg,44509,74,1
10089.jpg,602743,82,1
1009.jpg,12139,95,1
10090.jpg,1497,63,1
10091.jpg,116056,99,1
10092.jpg,10464,94,1
10093.jpg,1480,85,1
10094.jpg,6906,86,1
10095.jpg,32013,86,1
10096.jpg,871,80,1
10097.jpg,19898,79,1
10098.jpg,26933,85,1
10099.jpg,22852,89,1
101.jpg,1.80869M,100,1
1010.jpg,22744,80,1
10100.jpg,61864,100,1
10101.jpg,83430,80,1
10102.jpg,64348,91,1
10103.jpg,79006,86,1
10104.jpg,358265,99,1
10105.jpg,507323,99,1
10106.jpg,9213,82,1
10107.jpg,26164,80,1
10108.jpg,31893,73,1
10109.jpg,54205,85,1
1011.jpg,20084,63,1
10110.jpg,1517,99,1
10111.jpg,21833,75,1
10112.jpg,27945,100,1
10113.jpg,9123,82,1
10114.jpg,56986,69,1
10115.jpg,2212,85,0
10116.jpg,8039,82,1
10117.jpg,27905,91,1
10118.jpg,12282,80,1
10119.jpg,119895,92,1
1012.jpg,35056,82,1
10120.jpg,14240,55,1
10121.jpg,30222,75,1
10122.jpg,21338,100,1
10123.jpg,123011,94,1
10124.jpg,159969,100,1
10125.jpg,1824,99,1
10126.jpg,13664,90,1
10127.jpg,14505,82,1
10128.jpg,634,100,1
10129.jpg,12939,75,1
1013.jpg,206342,92,1
10130.jpg,80392,99,1
10131.jpg,6790,85,1
10132.jpg,43540,82,1
10133.jpg,61302,0,1
10134.jpg,43907,63,1
10135.jpg,52683,82,1
10136.jpg,10719,75,1
10137.jpg,53046,93,1
10138.jpg,12758,85,1
10139.jpg,45876,94,1
1014.jpg,43022,100,1
10140.jpg,377845,90,1
10141.jpg,136262,96,1
10142.jpg,18903,90,1
10143.jpg,1996,80,1
10144.jpg,97366,90,1
10145.jpg,4394,63,1
10146.jpg,90517,82,1
10147.jpg,826,86,1
10148.jpg,13717,90,1
10149.jpg,61421,90,1
1015.jpg,43113,94,1
10150.jpg,3.73197M,95,1
10151.jpg,104770,91,1
10152.jpg,123861,85,1
10153.jpg,20800,90,1
10154.jpg,54640,82,1
10155.jpg,50257,82,1
10156.jpg,77183,63,1
10157.jpg,19893,87,1
10158.jpg,14982,90,1
10159.jpg,9633,93,1
1016.jpg,11672,89,1
10160.jpg,36022,99,1
10161.jpg,40233,95,1
10162.jpg,75314,94,1
10163.jpg,11643,75,1
10164.jpg,32841,90,1
10165.jpg,15054,86,1
10166.jpg,420,71,1
10167.jpg,71218,80,1
10168.jpg,20910,70,1
10169.jpg,475194,90,1
1017.jpg,256744,82,1
10170.jpg,13965,90,1
10171.jpg,21793,80,1
10172.jpg,3112,80,1
10173.jpg,1.25042M,90,1
10174.jpg,304679,82,1
10175.jpg,10993,82,1
10176.jpg,14899,80,1
10177.jpg,203029,99,1
10178.jpg,28539,85,1
10179.jpg,2355,89,1
1018.jpg,202266,99,1
10180.jpg,23045,91,1
10181.jpg,25297,100,1
10182.jpg,3098,100,1
10183.jpg,22121,82,1
10184.jpg,33855,73,1
10185.jpg,24714,0,1
10186.jpg,25129,90,1
10187.jpg,75685,75,1
10188.jpg,16884,75,1
10189.jpg,14807,94,1
1019.jpg,377,100,0
10190.jpg,20247,87,1
10191.jpg,7337,86,1
10192.jpg,16690,90,1
10193.jpg,37074,79,1
10194.jpg,63182,60,1
10195.jpg,26198,100,1
10196.jpg,4851,86,1
10197.jpg,168114,92,1
10198.jpg,174102,100,1
10199.jpg,2339,80,1
102.jpg,7259,95,1
1020.jpg,84734,94,1
10200.jpg,240776,55,1
10201.jpg,3.89294M,99,1
10202.jpg,94531,86,1
10203.jpg,15842,0,1
10204.jpg,51892,0,1
10205.jpg,38220,75,1
10206.jpg,9641,82,1
10207.jpg,479,82,1
10208.jpg,63347,100,1
10209.jpg,218027,98,1
1021.jpg,14600,79,1
10210.jpg,21147,95,1
10211.jpg,22655,82,1
10212.jpg,62594,93,1
10213.jpg,34887,99,1
10214.jpg,14508,86,1
10215.jpg,13183,85,1
10216.jpg,1.09347M,63,1
10217.jpg,5828,80,1
10218.jpg,116119,89,1
10219.jpg,8582,82,1
1022.jpg,7295,100,1
10220.jpg,78676,90,1
10221.jpg,272968,82,1
10222.jpg,3099,75,1
10223.jpg,49638,85,1
10224.jpg,13787,0,1
10225.jpg,53167,99,1
10226.jpg,278927,95,1
10227.jpg,34526,100,1
10228.jpg,63603,83,1
10229.jpg,40044,82,1
1023.jpg,35986,98,1
10230.jpg,14516,85,1
10231.jpg,66676,94,1
10232.jpg,143664,99,1
10233.jpg,13288,85,1
10234.jpg,289962,75,1
10235.jpg,11695,69,1
10236.jpg,210916,76,1
10237.jpg,324746,99,1
10238.jpg,74547,75,1
10239.jpg,20884,73,1
1024.jpg,19203,86,1
10240.jpg,103114,90,1
10241.jpg,66320,92,1
10242.jpg,174927,91,1
10243.jpg,26382,85,1
10244.jpg,110069,94,1
10245.jpg,10100,82,1
10246.jpg,34773,0,1
10247.jpg,83532,100,1
10248.jpg,1966,80,1
10249.jpg,21556,74,1
1025.jpg,13516,61,1
10250.jpg,5608,40,1
10251.jpg,155749,92,1
10252.jpg,3987,82,1
10253.jpg,1731,85,0
10254.jpg,3234,75,1
10255.jpg,1383,85,1
10256.jpg,51135,85,1
10257.jpg,23233,82,1
10258.jpg,25204,82,1
10259.jpg,14236,80,1
1026.jpg,82688,74,1
10260.jpg,242253,94,1
10261.jpg,54281,85,1
10262.jpg,53961,100,1
10263.jpg,4342,82,1
10264.jpg,294791,100,1
10265.jpg,2.72375M,91,1
10266.jpg,9289,90,1
10267.jpg,566842,85,1
10268.jpg,324052,99,1
10269.jpg,4794,100,1
1027.jpg,21476,82,1
10270.jpg,127230,95,1
10271.jpg,3322,0,1
10272.jpg,3638,82,1
10273.jpg,49927,80,1
10274.jpg,26760,82,1
10275.jpg,9303,90,1
10276.jpg,15577,80,1
10277.jpg,60137,85,1
10278.jpg,507856,95,1
10279.jpg,36498,63,1
1028.jpg,29997,80,1
10280.jpg,7457,94,1
10281.jpg,14915,82,1
10282.jpg,24874,90,1
10283.jpg,550241,100,1
10284.jpg,12882,90,1
10285.jpg,2115,82,1
10286.jpg,555565,94,1
10287.jpg,7657,85,1
10288.jpg,13341,82,1
10289.jpg,21087,90,1
1029.jpg,3475,85,1
10290.jpg,3370,92,1
10291.jpg,46848,100,1
10292.jpg,35552,94,1
10293.jpg,614,80,1
10294.jpg,25254,90,1
10295.jpg,54146,90,1
10296.jpg,707,85,0
10297.jpg,81114,0,1
10298.jpg,34506,82,1
10299.jpg,4093,86,0
103.jpg,16038,80,1
1030.jpg,10097,86,1
10300.jpg,13082,85,1
10301.jpg,29463,70,1
10302.jpg,631758,97,1
10303.jpg,431302,98,1
10304.jpg,75968,99,1
10305.jpg,22623,85,1
10306.jpg,13376,90,1
10307.jpg,2.03662M,99,1
10308.jpg,16294,90,1
10309.jpg,469626,82,1
1031.jpg,14401,75,1
10310.jpg,5147,90,1
10311.jpg,3176360,99,1
10312.jpg,188876,63,1
10313.jpg,13368,99,1
10314.jpg,30282,82,1
10315.jpg,32985,75,1
10316.jpg,150435,100,1
10317.jpg,25154,91,1
10318.jpg,60858,94,1
10319.jpg,7572,90,1
1032.jpg,53569,100,1
10320.jpg,94690,69,1
10321.jpg,135300,100,1
10322.jpg,28008,82,1
10323.jpg,767021,95,1
10324.jpg,31151,80,1
10325.jpg,210170,99,1
10326.jpg,9219,90,1
10327.jpg,119104,91,1
10328.jpg,4397,82,1
10329.jpg,66607,85,1
1033.jpg,76206,63,1
10330.jpg,17737,90,1
10331.jpg,12823,90,1
10332.jpg,60556,82,1
10333.jpg,5918,82,0
10334.jpg,49317,93,1
10335.jpg,34638,90,1
10336.jpg,9640,90,1
10337.jpg,10924,90,1
10338.jpg,91364,94,1
10339.jpg,1706,0,1
1034.jpg,9839,90,1
10340.jpg,37389,100,1
10341.jpg,51997,0,1
10342.jpg,160022,86,1
10343.jpg,20291,90,1
10344.jpg,7846,85,1
10345.jpg,487116,80,1
10346.jpg,10359,82,1
10347.jpg,14973,82,1
10348.jpg,13417,93,1
10349.jpg,119106,100,1
1035.jpg,62806,75,1
10350.jpg,73796,90,1
10351.jpg,2239,82,1
10352.jpg,134153,90,1
10353.jpg,155032,80,1
10354.jpg,40292,90,1
10355.jpg,4986,82,1
10356.jpg,133660,88,1
10357.jpg,3258,83,1
10358.jpg,303526,91,1
10359.jpg,5589,75,1
1036.jpg,30256,94,1
10360.jpg,597199,88,1
10361.jpg,177328,75,1
10362.jpg,22593,93,1
10363.jpg,339872,86,1
10364.jpg,3421,73,1
10365.jpg,9399,90,1
10366.jpg,48998,89,1
10367.jpg,3005,89,1
10368.jpg,30456,89,1
10369.jpg,174561,50,1
1037.jpg,18448,83,1
10370.jpg,66794,100,1
10371.jpg,13507,90,1
10372.jpg,140883,85,1
10373.jpg,55387,100,1
10374.jpg,26717,73,1
10375.jpg,77385,82,1
10376.jpg,30886,90,1
10377.jpg,2614,82,1
10378.jpg,26129,85,1
10379.jpg,7219,85,1
1038.jpg,315119,94,1
10380.jpg,72101,85,1
10381.jpg,2644,82,1
10382.jpg,224020,85,1
10383.jpg,4916,85,1
10384.jpg,229782,94,1
10385.jpg,42138,73,1
10386.jpg,4647,90,1
10387.jpg,129689,99,1
10388.jpg,5256,82,1
10389.jpg,14636,80,1
1039.jpg,10768,82,1
10390.jpg,22770,80,1
10391.jpg,90539,78,1
10392.jpg,5150,75,1
10393.jpg,459890,99,1
10394.jpg,12184,94,1
10395.jpg,86594,75,1
10396.jpg,43027,100,1
10397.jpg,3992,86,1
10398.jpg,88165,100,1
10399.jpg,15915,80,1
104.jpg,3398,85,1
1040.jpg,32690,85,1
10400.jpg,17925,82,1
10401.jpg,1353,99,1
10402.jpg,7678,83,1
10403.jpg,77496,86,1
10404.jpg,20078,90,1
10405.jpg,25704,90,1
10406.jpg,4440,100,1
10407.jpg,9760,100,1
10408.jpg,13402,90,1
10409.jpg,3973,99,1
1041.jpg,34255,86,1
10410.jpg,51849,82,1
10411.jpg,33602,75,1
10412.jpg,24181,63,1
10413.jpg,13504,60,1
10414.jpg,59972,91,1
10415.jpg,17577,85,1
10416.jpg,86761,98,1
10417.jpg,12497,100,1
10418.jpg,12096,94,1
10419.jpg,36017,90,1
1042.jpg,24884,80,1
10420.jpg,2593,75,1
10421.jpg,10960,82,1
10422.jpg,3793,90,1
10423.jpg,73009,80,1
10424.jpg,31103,63,1
10425.jpg,9524,75,1
10426.jpg,1426,85,1
10427.jpg,6469,91,1
10428.jpg,1711,85,0
10429.jpg,34986,87,1
1043.jpg,433,80,1
10430.jpg,48032,69,1
10431.jpg,12435,83,1
10432.jpg,197350,75,1
10433.jpg,18237,82,1
10434.jpg,5708,63,1
10435.jpg,15314,94,1
10436.jpg,277472,90,1
10437.jpg,7523,91,1
10438.jpg,57924,85,1
10439.jpg,57991,94,1
1044.jpg,21847,97,1
10440.jpg,52395,82,1
10441.jpg,3661,82,1
10442.jpg,57609,94,1
10443.jpg,23143,85,1
10444.jpg,335722,75,1
10445.jpg,113569,98,1
10446.jpg,46467,100,1
10447.jpg,2054,84,1
10448.jpg,10388,89,1
10449.jpg,4522,80,1
1045.jpg,11921,82,1
10450.jpg,252462,80,1
10451.jpg,362674,90,1
10452.jpg,34639,99,1
10453.jpg,27065,90,1
10454.jpg,12014,90,1
10455.jpg,35257,92,1
10456.jpg,22891,92,1
10457.jpg,313607,90,1
10458.jpg,70501,64,1
10459.jpg,35737,99,1
1046.jpg,70734,84,1
10460.jpg,39030,85,1
10461.jpg,162604,85,1
10462.jpg,32125,100,1
10463.jpg,13113,80,1
10464.jpg,62419,99,1
10465.jpg,30977,88,1
10466.jpg,37878,85,1
10467.jpg,3487,100,1
10468.jpg,72544,86,1
10469.jpg,2544,91,1
1047.jpg,98168,82,1
10470.jpg,11221,99,1
10471.jpg,3273,82,1
10472.jpg,529,86,1
10473.jpg,1507,80,0
10474.jpg,3682,63,1
10475.jpg,236918,86,1
10476.jpg,6221,82,1
10477.jpg,44387,63,1
10478.jpg,393477,99,1
10479.jpg,624174,99,1
1048.jpg,10241,99,1
10480.jpg,509,82,1
10481.jpg,30525,100,1
10482.jpg,58661,100,1
10483.jpg,7579,75,1
10484.jpg,100821,80,1
10485.jpg,103183,85,1
10486.jpg,9458,65,1
10487.jpg,605,83,0
10488.jpg,115562,92,1
10489.jpg,376348,86,1
1049.jpg,1.00137M,82,1
10490.jpg,13618,85,1
10491.jpg,10115,82,1
10492.jpg,58925,100,1
10493.jpg,13461,73,1
10494.jpg,144750,72,1
10495.jpg,88405,90,1
10496.jpg,3463,90,1
10497.jpg,46497,94,1
10498.jpg,809011,100,1
10499.jpg,5471,82,1
105.jpg,124225,99,1
1050.jpg,90891,75,1
10500.jpg,8583,73,1
10501.jpg,20671,95,1
10502.jpg,28940,90,1
10503.jpg,10280,90,1
10504.jpg,1943,86,1
10505.jpg,2328,82,1
10506.jpg,10617,82,1
10507.jpg,64926,99,1
10508.jpg,5128,80,1
10509.jpg,33476,86,1
1051.jpg,9769,69,1
10510.jpg,191378,93,1
10511.jpg,8155,85,1
10512.jpg,44921,85,1
10513.jpg,4916,75,1
10514.jpg,1845,75,1
10515.jpg,91573,99,1
10516.jpg,92210,90,1
10517.jpg,20436,90,1
10518.jpg,257788,30,1
10519.jpg,157231,100,1
1052.jpg,28436,86,0
10520.jpg,22256,90,1
10521.jpg,13226,82,1
10522.jpg,5271,90,1
10523.jpg,147870,88,1
10524.jpg,30926,92,1
10525.jpg,21291,74,1
10526.jpg,8344,85,1
10527.jpg,4994,86,1
10528.jpg,1747,85,1
10529.jpg,31649,92,1
1053.jpg,9301,80,1
10530.jpg,31251,95,1
10531.jpg,53822,92,1
10532.jpg,77143,86,1
10533.jpg,3040,90,1
10534.jpg,131699,88,1
10535.jpg,104445,82,1
10536.jpg,196375,68,1
10537.jpg,8361,95,1
10538.jpg,195813,99,1
10539.jpg,506322,92,1
1054.jpg,38592,82,1
10540.jpg,37707,82,1
10541.jpg,6462,82,0
10542.jpg,4501,82,1
10543.jpg,8997,100,1
10544.jpg,36492,63,1
10545.jpg,18963,100,1
10546.jpg,118467,97,1
10547.jpg,7409,79,1
10548.jpg,11757,92,1
10549.jpg,98186,100,1
1055.jpg,1.30979M,96,1
10550.jpg,1605,99,1
10551.jpg,32201,73,1
10552.jpg,952911,99,1
10553.jpg,223732,90,1
10554.jpg,32967,91,1
10555.jpg,19516,50,1
10556.jpg,80120,90,1
10557.jpg,13040,89,1
10558.jpg,29619,82,1
10559.jpg,88135,55,1
1056.jpg,46866,79,1
10560.jpg,6160,80,1
10561.jpg,29044,82,1
10562.jpg,13842,92,1
10563.jpg,113834,94,1
10564.jpg,83334,99,1
10565.jpg,34618,90,1
10566.jpg,36164,63,1
10567.jpg,153367,82,1
10568.jpg,21036,83,1
10569.jpg,30932,92,1
1057.jpg,1375,95,1
10570.jpg,344,99,0
10571.jpg,50979,89,1
10572.jpg,3207,80,1
10573.jpg,2446,82,1
10574.jpg,314407,85,1
10575.jpg,93416,100,1
10576.jpg,3594,84,1
10577.jpg,28625,63,1
10578.jpg,169670,79,1
10579.jpg,231195,76,1
1058.jpg,18483,70,1
10580.jpg,4738,90,1
10581.jpg,67293,90,1
10582.jpg,11819,90,1
