file,size,q,progressive
1.jpg,2269,93,0
10.jpg,19974,63,1
100.jpg,29102,99,0
1000.jpg,9153,80,0
10000.jpg,238026,97,0
10001.jpg,5617,82,1
10002.jpg,334011,92,0
10003.jpg,2710,82,0
10004.jpg,205416,92,1
10005.jpg,44327,82,0
10006.jpg,10782,94,0
10007.jpg,12563,89,1
10008.jpg,69450,90,0
10009.jpg,75749,100,0
1001.jpg,9544,0,1
10010.jpg,98959,99,0
10011.jpg,20075,95,0
10012.jpg,478827,63,1
10013.jpg,10490,82,0
10014.jpg,1.1378M,90,0
10015.jpg,6001,92,1
10016.jpg,224449,91,1
10017.jpg,54789,91,0
10018.jpg,17933,82,0
10019.jpg,52250,94,1
1002.jpg,261912,91,0
10020.jpg,47134,80,0
10021.jpg,5003,75,0
10022.jpg,19206,85,0
10023.jpg,21743,59,0
10024.jpg,62705,95,1
10025.jpg,2932,75,0
10026.jpg,31674,63,1
10027.jpg,29293,68,0
10028.jpg,33773,90,0
10029.jpg,9702,94,0
1003.jpg,26934,99,0
10030.jpg,54699,67,1
10031.jpg,27731,75,1
10032.jpg,52429,82,0
10033.jpg,19269,82,1
10034.jpg,52304,94,0
10035.jpg,40073,80,0
10036.jpg,43286,99,0
10037.jpg,304903,94,0
10038.jpg,52672,92,0
10039.jpg,79270,79,0
1004.jpg,54373,85,1
10040.jpg,38251,99,0
10041.jpg,52158,100,0
10042.jpg,46680,93,0
10043.jpg,728289,99,0
10044.jpg,32386,94,0
10045.jpg,116481,63,1
10046.jpg,29015,90,1
10047.jpg,79208,99,0
10048.jpg,97402,100,0
10049.jpg,61055,85,1
1005.jpg,200202,99,0
10050.jpg,2035,85,1
10051.jpg,103819,99,1
10052.jpg,66214,99,0
10053.jpg,8628,82,0
10054.jpg,10602,82,0
10055.jpg,30527,99,1
10056.jpg,3273,86,0
10057.jpg,66132,63,1
10058.jpg,286554,95,1
10059.jpg,55081,99,1
1006.jpg,167051,92,0
10060.jpg,17171,90,1
10061.jpg,9857,85,0
10062.jpg,43909,82,0
10063.jpg,750395,82,1
10064.jpg,145430,100,0
10065.jpg,699193,94,0
10066.jpg,31708,94,0
10067.jpg,217416,100,0
10068.jpg,6916,63,1
10069.jpg,16907,90,0
1007.jpg,25618,94,0
10070.jpg,7604,82,0
10071.jpg,380393,90,0
10072.jpg,15600,99,0
10073.jpg,56892,95,0
10074.jpg,125266,75,0
10075.jpg,10145,90,0
10076.jpg,25135,73,1
10077.jpg,12331,86,0
10078.jpg,73263,79,0
10079.jpg,4876,88,0
1008.jpg,3.60968M,99,0
10080.jpg,56295,100,0
10081.jpg,12914,85,0
10082.jpg,160235,94,0
10083.jpg,15385,94,0
10084.jpg,2523,90,0
10085.jpg,44610,87,0
10086.jpg,2339,85,1
10087.jpg,65168,100,0
10088.jpg,44517,74,1
10089.jpg,628716,82,0
1009.jpg,12147,95,1
10090.jpg,1541,63,1
10091.jpg,4.49674M,99,1
10092.jpg,11514,94,0
10093.jpg,1814,85,0
10094.jpg,7313,86,0
10095.jpg,33824,86,0
10096.jpg,1178,80,1
10097.jpg,25223,79,0
10098.jpg,27666,85,0
10099.jpg,44009,89,1
101.jpg,1.94293M,100,0
1010.jpg,23270,80,1
10100.jpg,78544,100,0
10101.jpg,87275,80,0
10102.jpg,64356,91,1
10103.jpg,82279,86,0
10104.jpg,427013,99,0
10105.jpg,538112,99,0
10106.jpg,10372,82,0
10107.jpg,27306,80,0
10108.jpg,32301,73,1
10109.jpg,56835,85,1
