file,orig,tranbase,tranprog,trandiff,tran,tranopt,mozbase,mozprog,mozdiff,moz
1,2269,2236,2436,-200,2236,2236,2233,2239,-6,2239
2,2827,2138,2369,-231,2138,2138,2138,2205,-67,2205
3,51264,52092,51245,847,51245,51245,52111,50379,1732,50379
4,5293,5290,5238,52,5238,5238,5293,5123,170,5123
5,34578,34580,33224,1356,33224,33224,34594,32773,1821,32773
6,140938,149157,142234,6923,142234,140938,149194,140316,8878,140316
7,16391,16401,16712,-311,16401,16391,16396,16287,109,16287
8,13939,11497,11002,495,11002,11002,11504,10551,953,10551
9,3550,3165,3351,-186,3165,3165,3168,3187,-19,3187
10,19974,19406,19531,-125,19406,19406,19418,19352,66,19352
11,10280,10069,10278,-209,10069,10069,10068,10048,20,10048
12,1573,1573,1845,-272,1573,1573,1573,1603,-30,1573
13,96194,103520,96475,7045,96475,96194,103505,96236,7269,96194
14,32895,33681,32524,1157,32524,32524,33684,32273,1411,32273
15,36161,34652,34624,28,34624,34624,34658,34188,470,34188
16,59769,59127,58612,515,58612,58612,59155,57280,1875,57280
17,107662,111828,107622,4206,107622,107622,111850,107465,4385,107465
18,3722,3678,3834,-156,3678,3678,3680,3685,-5,3685
19,45783,47051,45763,1288,45763,45763,47051,45559,1492,45559
20,5013,4412,4616,-204,4412,4412,4411,4391,20,4391
21,37640,7677,7572,105,7572,7572,7682,6954,728,6954
22,26953,26824,26865,-41,26824,26824,26837,26331,506,26331
23,192919,197765,193524,4241,193524,192919,197799,192991,4808,192919
24,25589,25540,24850,690,24850,24850,25552,24696,856,24696
25,37132,39660,38201,1459,38201,37132,39675,37124,2551,37124
26,17776,16928,16402,526,16402,16402,16931,15873,1058,15873
27,39392,38377,38276,101,38276,38276,38390,37331,1059,37331
28,12756,12333,11997,336,11997,11997,12332,11834,498,11834
29,4597,3754,3853,-99,3754,3754,3757,3640,117,3640
30,479459,441297,420865,20432,420865,420865,441238,417530,23708,417530
31,8206,7565,7364,201,7364,7364,7564,7272,292,7272
32,97802,97760,93115,4645,93115,93115,97802,92604,5198,92604
33,337300,336473,323361,13112,323361,323361,336390,319707,16683,319707
34,55830,52212,49369,2843,49369,49369,52272,47093,5179,47093
35,18958,19355,18951,404,18951,18951,19357,18743,614,18743
36,15863,15700,15534,166,15534,15534,15698,14646,1052,14646
37,3182,2814,2990,-176,2814,2814,2813,2801,12,2801
38,102792,97842,98074,-232,97842,97842,97863,96452,1411,96452
39,2917,2801,2917,-116,2801,2801,2800,2804,-4,2804
40,6143,5723,5890,-167,5723,5723,5729,5668,61,5668
41,925037,969315,924821,44494,924821,924821,969534,916858,52676,916858
42,690,690,791,-101,690,690,690,701,-11,690
43,2676,2547,2616,-69,2547,2547,2549,2435,114,2435
44,15899,15217,14806,411,14806,14806,15210,14632,578,14632
45,315005,329205,314957,14248,314957,314957,329310,312436,16874,312436
46,24226,24614,23840,774,23840,23840,24609,23604,1005,23604
47,913,914,1139,-225,914,913,913,973,-60,913
48,30488,32866,30444,2422,30444,30444,32865,28488,4377,28488
49,73493,76644,73456,3188,73456,73456,76671,72742,3929,72742
50,34620,32967,31372,1595,31372,31372,32966,31112,1854,31112
51,34373,33446,33477,-31,33446,33446,33470,32203,1267,32203
52,153979,151337,144044,7293,144044,144044,151457,143995,7462,143995
53,141861,108713,105515,3198,105515,105515,108723,105201,3522,105201
54,5096,4966,5037,-71,4966,4966,4967,4899,68,4899
55,45031,42159,39798,2361,39798,39798,42185,39635,2550,39635
56,285521,285141,277285,7856,277285,277285,285168,270689,14479,270689
57,8700,7969,8069,-100,7969,7969,7972,7725,247,7725
58,141534,140657,135609,5048,135609,135609,140635,135397,5238,135397
59,20930,20925,20010,915,20010,20010,20930,19394,1536,19394
60,3573,3569,3697,-128,3569,3569,3573,3561,12,3561
61,185498,190907,185467,5440,185467,185467,190915,183969,6946,183969
62,12224,10741,10077,664,10077,10077,10743,9443,1300,9443
63,7354,6925,6905,20,6905,6905,6925,6757,168,6757
64,9252,9597,9398,199,9398,9252,9597,9252,345,9252
65,13319,13314,12928,386,12928,12928,13319,12551,768,12551
66,152792,157665,152793,4872,152793,152792,157732,151856,5876,151856
67,18331,19640,20430,-790,19640,18331,19637,18331,1306,18331
68,106848,106816,105148,1668,105148,105148,106848,104224,2624,104224
69,13651,13723,13641,82,13641,13641,13738,13304,434,13304
70,17226,15867,16050,-183,15867,15867,15868,15064,804,15064
71,37330,37283,36399,884,36399,36399,37282,36052,1230,36052
72,3535,3148,3272,-124,3148,3148,3152,3138,14,3138
73,42366,43610,42763,847,42763,42366,43618,42364,1254,42364
74,117916,62956,60828,2128,60828,60828,62979,58480,4499,58480
75,7038,7160,7036,124,7036,7036,7160,6794,366,6794
76,12923,13120,12866,254,12866,12866,13115,12500,615,12500
77,10327,9569,9457,112,9457,9457,9575,9371,204,9371
78,20320,16639,16836,-197,16639,16639,16663,16684,-21,16684
79,8456,7626,7496,130,7496,7496,7625,7378,247,7378
80,5021,5024,4800,224,4800,4800,5021,4375,646,4375
81,8069,8071,8033,38,8033,8033,8069,7872,197,7872
82,12720,12313,12102,211,12102,12102,12312,11948,364,11948
83,26821,26842,25963,879,25963,25963,26840,25898,942,25898
84,109070,106004,104000,2004,104000,104000,105948,102890,3058,102890
